"","X1","ed_rate","populations","county_x","type","FIPS","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","tier","3/10/21","3/11/21","3/12/21","3/13/21","3/14/21","3/15/21","3/16/21","county","compliance_mean","cases_mean"
"1",0,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"2",1,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"3",2,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"4",3,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"5",4,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"6",5,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"7",6,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"8",7,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"9",8,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"10",9,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"11",10,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"12",11,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"13",12,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"14",13,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
"15",14,0.24,36,"Austin County TX",1,48015,0.024,0.054,0.224,0.692,1,1903,1910,1916,1925,1934,1935,1938,"Austin County TX",0.2485,1923
