,county,original_tweet,tweets_list,tweet_str,tweet_slice,tweet_text
0,Texas test,"['@tigerfan1975lsu @AmericanAir Thanks @AmericanAir ! Anyway we can get a badge or something to make sure everybody knows we ride with Kerry mask free all flight long? Please give us an idea of what it may look like so we know it’s authentic. Maybe add a barcode for scanning, just a thought.']","['@tigerfan1975lsu @AmericanAir Thanks @AmericanAir ! Anyway we can get a badge or something to make sure everybody knows we ride with Kerry mask free all flight long? Please give us an idea of what it may look like so we know it’s authentic. Maybe add a barcode for scanning, just a thought.'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 ""@Heart10Looks3 @JosephChaplik I'm free to not wear a mask today. I exercise that right every day and everywhere because masks are dumb and don't do anything to reduce the spread of ANY respiratory virus - including the one you're so terrified of. Go cry elsewhere.""]","['@tigerfan1975lsu @AmericanAir Thanks @AmericanAir ! Anyway we can get a badge or something to make sure everybody knows we ride with Kerry mask free all flight long? Please give us an idea of what it may look like so we know it’s authentic. Maybe add a barcode for scanning, just a thought.']","r ! Anyway we can get a badge or something to make sure everybody knows we ride with Kerry mask free all flight long? Please give us an idea of what it may look like so we know it’s authentic. Maybe add a barcode for scanning, just a thought.']",'tigerfanlsu americanair thanks americanair  anyway we can get a badge or something to make sure everybody knows we ride with kerry mask free all flight long please give us an idea of what it may look like so we know its authentic maybe add a barcode for scanning just a thought']
0,Texas test,"['RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…']","['@tigerfan1975lsu @AmericanAir Thanks @AmericanAir ! Anyway we can get a badge or something to make sure everybody knows we ride with Kerry mask free all flight long? Please give us an idea of what it may look like so we know it’s authentic. Maybe add a barcode for scanning, just a thought.'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 ""@Heart10Looks3 @JosephChaplik I'm free to not wear a mask today. I exercise that right every day and everywhere because masks are dumb and don't do anything to reduce the spread of ANY respiratory virus - including the one you're so terrified of. Go cry elsewhere.""]","['RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…']","Kerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…']",'rt scorpio: johncardillo americanair johnkerry dont forget the fine of up to k the faanews would have fined me but johnkerry']
0,Texas test,"[""@Heart10Looks3 @JosephChaplik I'm free to not wear a mask today. I exercise that right every day and everywhere because masks are dumb and don't do anything to reduce the spread of ANY respiratory virus - including the one you're so terrified of. Go cry elsewhere.""]","['@tigerfan1975lsu @AmericanAir Thanks @AmericanAir ! Anyway we can get a badge or something to make sure everybody knows we ride with Kerry mask free all flight long? Please give us an idea of what it may look like so we know it’s authentic. Maybe add a barcode for scanning, just a thought.'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 'RT @Scorpio549: @johncardillo @AmericanAir @JohnKerry Don’t forget the fine of up to $35k, the @FAANews would have fined me, but @JohnKerry…'
 ""@Heart10Looks3 @JosephChaplik I'm free to not wear a mask today. I exercise that right every day and everywhere because masks are dumb and don't do anything to reduce the spread of ANY respiratory virus - including the one you're so terrified of. Go cry elsewhere.""]","[""@Heart10Looks3 @JosephChaplik I'm free to not wear a mask today. I exercise that right every day and everywhere because masks are dumb and don't do anything to reduce the spread of ANY respiratory virus - including the one you're so terrified of. Go cry elsewhere.""]","ar a mask today. I exercise that right every day and everywhere because masks are dumb and don't do anything to reduce the spread of ANY respiratory virus - including the one you're so terrified of. Go cry elsewhere.""]",heartlooks josephchaplik i'm free to not wear a mask today i exercise that right every day and everywhere because masks are dumb and don't do anything to reduce the spread of any respiratory virus - including the one you're so terrified of go cry elsewhere]
2,County of San Francisco CA,"['If you live in supportive housing, you are probably disabled enough to get the vaccine (or may be eligible in other ways). Go out and get your vaccine so our mask-free non-distanced future can come sooner. https://t.co/zBsyD6VOvw']","['If you live in supportive housing, you are probably disabled enough to get the vaccine (or may be eligible in other ways). Go out and get your vaccine so our mask-free non-distanced future can come sooner. https://t.co/zBsyD6VOvw'
 'LMC Marketplace is available tomorrow Thursday March 18th,  1pm-3pm, at the Pittsburgh Campus in front of the library. Come on down, wear a mask, and bring home a box of nutritious and delicious groceries free of charge! https://t.co/Z6o1J0Sljl'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…'
 'RT @stealsrus_com: STEAL💥 (15% OFF)\n\nFoot Peel Mask - 2 Pack - For Cracked Heels, Dead Skin &amp; Calluses - Make Your Feet Baby Soft &amp; Removes…'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…']","['If you live in supportive housing, you are probably disabled enough to get the vaccine (or may be eligible in other ways). Go out and get your vaccine so our mask-free non-distanced future can come sooner. https://t.co/zBsyD6VOvw']",bly disabled enough to get the vaccine (or may be eligible in other ways). Go out and get your vaccine so our mask-free non-distanced future can come sooner. https://t.co/zBsyD6VOvw'],'if you live in supportive housing you are probably disabled enough to get the vaccine (or may be eligible in other ways) go out and get your vaccine so our mask-free non-distanced future can come sooner 
2,County of San Francisco CA,"['LMC Marketplace is available tomorrow Thursday March 18th,  1pm-3pm, at the Pittsburgh Campus in front of the library. Come on down, wear a mask, and bring home a box of nutritious and delicious groceries free of charge! https://t.co/Z6o1J0Sljl']","['If you live in supportive housing, you are probably disabled enough to get the vaccine (or may be eligible in other ways). Go out and get your vaccine so our mask-free non-distanced future can come sooner. https://t.co/zBsyD6VOvw'
 'LMC Marketplace is available tomorrow Thursday March 18th,  1pm-3pm, at the Pittsburgh Campus in front of the library. Come on down, wear a mask, and bring home a box of nutritious and delicious groceries free of charge! https://t.co/Z6o1J0Sljl'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…'
 'RT @stealsrus_com: STEAL💥 (15% OFF)\n\nFoot Peel Mask - 2 Pack - For Cracked Heels, Dead Skin &amp; Calluses - Make Your Feet Baby Soft &amp; Removes…'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…']","['LMC Marketplace is available tomorrow Thursday March 18th,  1pm-3pm, at the Pittsburgh Campus in front of the library. Come on down, wear a mask, and bring home a box of nutritious and delicious groceries free of charge! https://t.co/Z6o1J0Sljl']","arch 18th,  1pm-3pm, at the Pittsburgh Campus in front of the library. Come on down, wear a mask, and bring home a box of nutritious and delicious groceries free of charge! https://t.co/Z6o1J0Sljl']",'lmc marketplace is available tomorrow thursday march th  pm-pm at the pittsburgh campus in front of the library come on down wear a mask and bring home a box of nutritious and delicious groceries free of charge 
2,County of San Francisco CA,"['RT @stealsrus_com: STEAL💥 (15% OFF)\n\nFoot Peel Mask - 2 Pack - For Cracked Heels, Dead Skin &amp; Calluses - Make Your Feet Baby Soft &amp; Removes…']","['If you live in supportive housing, you are probably disabled enough to get the vaccine (or may be eligible in other ways). Go out and get your vaccine so our mask-free non-distanced future can come sooner. https://t.co/zBsyD6VOvw'
 'LMC Marketplace is available tomorrow Thursday March 18th,  1pm-3pm, at the Pittsburgh Campus in front of the library. Come on down, wear a mask, and bring home a box of nutritious and delicious groceries free of charge! https://t.co/Z6o1J0Sljl'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…'
 'RT @stealsrus_com: STEAL💥 (15% OFF)\n\nFoot Peel Mask - 2 Pack - For Cracked Heels, Dead Skin &amp; Calluses - Make Your Feet Baby Soft &amp; Removes…'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…']","['RT @stealsrus_com: STEAL💥 (15% OFF)\n\nFoot Peel Mask - 2 Pack - For Cracked Heels, Dead Skin &amp; Calluses - Make Your Feet Baby Soft &amp; Removes…']"," Mask - 2 Pack - For Cracked Heels, Dead Skin &amp; Calluses - Make Your Feet Baby Soft &amp; Removes…']",'rt stealsruscom: steal ( off)\n\nfoot peel mask -  pack - for cracked heels dead skin  calluses - make your feet baby soft  removes']
2,County of San Francisco CA,"['RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…']","['If you live in supportive housing, you are probably disabled enough to get the vaccine (or may be eligible in other ways). Go out and get your vaccine so our mask-free non-distanced future can come sooner. https://t.co/zBsyD6VOvw'
 'LMC Marketplace is available tomorrow Thursday March 18th,  1pm-3pm, at the Pittsburgh Campus in front of the library. Come on down, wear a mask, and bring home a box of nutritious and delicious groceries free of charge! https://t.co/Z6o1J0Sljl'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…'
 'RT @stealsrus_com: STEAL💥 (15% OFF)\n\nFoot Peel Mask - 2 Pack - For Cracked Heels, Dead Skin &amp; Calluses - Make Your Feet Baby Soft &amp; Removes…'
 'RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…']","['RT @stealsrus_com: STEAL💥 (35% OFF)\n\nKN95 Face Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…']"," Mask, 30 Pack Individually Wrapped, 5-Ply Breathable  (Black Mask)\n\n$26.00 + (FREE SHIPPING)…']",'rt stealsruscom: steal ( off)\n\nkn face mask  pack individually wrapped -ply breathable  (black mask)\n\n  (free shipping)']
4,Suffolk County MA,"['RT @HydeSquareTF: ""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets…']","['RT @HydeSquareTF: ""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets…'
 'RT @patcofone: Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong…'
 'Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong  #epiconetsy'
 'Hey guys I drew up a pattern to make myself a gerudo link face mask, it was just to make one for me so im giving you all the pattern to use how u wish! Make ur own mask if u want free game https://t.co/W6KBm8gGqc'
 '""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets their design printed on [1k] masks and we\'ll give them for FREE to the community.\nBe a part of Boston\' safety!\n#MyMaskMiPoder"" https://t.co/l7NB7KpkP9']","['RT @HydeSquareTF: ""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets…']", Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets…'],'rt hydesquaretf: take your power back and keep boston safe visit  and enter our mask design contest\n\nwinner gets']
4,Suffolk County MA,['RT @patcofone: Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong…'],"['RT @HydeSquareTF: ""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets…'
 'RT @patcofone: Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong…'
 'Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong  #epiconetsy'
 'Hey guys I drew up a pattern to make myself a gerudo link face mask, it was just to make one for me so im giving you all the pattern to use how u wish! Make ur own mask if u want free game https://t.co/W6KBm8gGqc'
 '""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets their design printed on [1k] masks and we\'ll give them for FREE to the community.\nBe a part of Boston\' safety!\n#MyMaskMiPoder"" https://t.co/l7NB7KpkP9']",['RT @patcofone: Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong…'],  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong…'],'rt patcofone: bear mask   etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong']
4,Suffolk County MA,['Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong  #epiconetsy'],"['RT @HydeSquareTF: ""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets…'
 'RT @patcofone: Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong…'
 'Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong  #epiconetsy'
 'Hey guys I drew up a pattern to make myself a gerudo link face mask, it was just to make one for me so im giving you all the pattern to use how u wish! Make ur own mask if u want free game https://t.co/W6KBm8gGqc'
 '""Take your power back and keep Boston safe! Visit https://t.co/SEuryIj0jk and enter our mask design contest!\n\nWinner gets their design printed on [1k] masks and we\'ll give them for FREE to the community.\nBe a part of Boston\' safety!\n#MyMaskMiPoder"" https://t.co/l7NB7KpkP9']",['Bear Mask https://t.co/xKH1CEVCkX  Etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong  #epiconetsy'],play  handmade  feltmask  animalmask  educational  teach  learn  playalong  #epiconetsy'],'bear mask   etsy  pretendplay  handmade  feltmask  animalmask  educational  teach  learn  playalong  #epiconetsy']
