,counties,state,populations,ed_rate,tier
0,New York,New York,69468,0.613,2
1,Kings,New York,35369,0.375,1
2,Bronx,New York,32903,0.201,1
3,Queens,New York,20554,0.322,1
4,San Francisco,California,17179,0.581,2
5,Hudson,New Jersey,13732,0.423,1
6,Suffolk,Massachusetts,12417,0.461,2
7,Philadelphia,Pennsylvania,11379,0.297,1
8,District of Columbia,District of Columbia,9857,0.585,2
9,Alexandria,Virginia,9314,0.631,3
10,Arlington,Virginia,8853,0.753,3
11,Richmond,New York,8030,0.339,1
12,Baltimore,Maryland,7672,0.394,1
13,Essex,New Jersey,6212,0.355,1
14,Falls Church,Virginia,6170,0.776,3
15,Manassas Park,Virginia,5633,0.279,1
16,Cook,Illinois,5495,0.388,1
17,Union,New Jersey,5216,0.36,1
18,Saint Louis,Missouri,5157,0.436,1
19,Nassau,New York,4705,0.46,2
20,Norfolk,Virginia,4486,0.288,1
21,Charlottesville,Virginia,4242,0.549,2
22,Milwaukee,Wisconsin,3926,0.31,1
23,Denver,Colorado,3923,0.494,2
